0 0.8 0.01
1 0.9 0.01
2 1.0 0.01
3 1.1 0.01
4 0.5 0.01
5 0.6 0.01
6 0.7 0.01
7 0.8 0.01
8 0.9 0.01
9 1.0 0.01
10 1.1 0.01
11 0.5 0.01
12 0.6 0.01
13 0.7 0.01
14 0.8 0.01
15 0.9 0.01
16 1.0 0.01
17 1.1 0.01
18 0.5 0.01
19 0.6 0.01
20 0.7 0.01
21 0.8 0.01
22 0.9 0.01
23 1.0 0.01
24 1.1 0.01
25 0.5 0.01
26 0.6 0.01
27 0.7 0.01
28 0.8 0.01
29 0.9 0.01
30 1.0 0.01
31 1.1 0.01
32 0.5 0.01
33 0.6 0.01
34 0.7 0.01
35 0.8 0.01
36 0.9 0.01
37 1.0 0.01
38 1.1 0.01
39 0.5 0.01
40 0.6 0.01
41 0.7 0.01
42 0.8 0.01
43 0.9 0.01
44 1.0 0.01
45 1.1 0.01
46 0.5 0.01
47 0.6 0.01
48 0.7 0.01
49 0.8 0.01
50 0.9 0.01
51 1.0 0.01
52 1.1 0.01
53 0.5 0.01
54 0.6 0.01
55 0.7 0.01
56 0.8 0.01
57 0.9 0.01
58 1.0 0.01
59 1.1 0.01
