0 0.6 0.01
1 0.7 0.01
2 0.8 0.01
3 0.9 0.01
4 1.0 0.01
5 1.1 0.01
6 0.5 0.01
7 0.6 0.01
8 0.7 0.01
9 0.8 0.01
10 0.9 0.01
11 1.0 0.01
12 1.1 0.01
13 0.5 0.01
14 0.6 0.01
15 0.7 0.01
16 0.8 0.01
17 0.9 0.01
18 1.0 0.01
19 1.1 0.01
20 0.5 0.01
21 0.6 0.01
22 0.7 0.01
23 0.8 0.01
24 0.9 0.01
25 1.0 0.01
26 1.1 0.01
27 0.5 0.01
28 0.6 0.01
29 0.7 0.01
30 0.8 0.01
31 0.9 0.01
32 1.0 0.01
33 1.1 0.01
34 0.5 0.01
35 0.6 0.01
36 0.7 0.01
37 0.8 0.01
38 0.9 0.01
39 1.0 0.01
40 1.1 0.01
41 0.5 0.01
42 0.6 0.01
43 0.7 0.01
44 0.8 0.01
45 0.9 0.01
46 1.0 0.01
47 1.1 0.01
48 0.5 0.01
49 0.6 0.01
50 0.7 0.01
51 0.8 0.01
52 0.9 0.01
53 1.0 0.01
54 1.1 0.01
55 0.5 0.01
56 0.6 0.01
57 0.7 0.01
58 0.8 0.01
59 0.9 0.01
